source_chunk,ata_from,ata_to_exclusive,fetched_at,api_data_updated_time,source_response_count,source_sha256
port_calls__20250101T000000Z__20250102T000000Z.json,2025-01-01T00:00:00Z,2025-01-02T00:00:00Z,2026-09-17T08:54:22Z,2026-09-17T08:52:00.192971Z,58,42b682530feda8a480778008a10818a809d7fd822356e7d3092e813cca8c419e
port_calls__20250102T000000Z__20250103T000000Z.json,2025-01-02T00:00:00Z,2025-01-03T00:00:00Z,2026-09-17T08:54:23Z,2026-09-17T08:52:00.192971Z,64,6f4d931a2e7838c2c588bd6642e6abec48ef49310acd455f16ed8431dfc5a7d8
port_calls__20250103T000000Z__20250104T000000Z.json,2025-01-03T00:00:00Z,2025-01-04T00:00:00Z,2026-09-17T08:54:23Z,2026-09-17T08:52:00.192971Z,73,28ad19d47763bb5b5d08ad5cecfe3bed21daee8ede1a9276d042a4f004634e51
port_calls__20250104T000000Z__20250105T000000Z.json,2025-01-04T00:00:00Z,2025-01-05T00:00:00Z,2026-09-17T08:54:24Z,2026-09-17T08:52:00.192971Z,61,348363168d815847e3a137fadbae371d33e627c13209aadfdac69a0fc7b585ee
port_calls__20250105T000000Z__20250106T000000Z.json,2025-01-05T00:00:00Z,2025-01-06T00:00:00Z,2026-09-17T08:54:25Z,2026-09-17T08:52:00.192971Z,61,c43e47a1450cc989c600dc8d8b8c7c066bb593b931693d245483969c64925250
port_calls__20250106T000000Z__20250107T000000Z.json,2025-01-06T00:00:00Z,2025-01-07T00:00:00Z,2026-09-17T08:54:25Z,2026-09-17T08:52:00.192971Z,73,1b19bfdc2fe3f087c331c246fb228a8f3c87d4ee3a23152dd868c3d23fc7787e
port_calls__20250107T000000Z__20250108T000000Z.json,2025-01-07T00:00:00Z,2025-01-08T00:00:00Z,2026-09-17T08:54:26Z,2026-09-17T08:52:00.192971Z,74,27b7f874491f71d1eb3e9ea406637bd22c3e49a522f341877e87e4b47b891903
port_calls__20250108T000000Z__20250109T000000Z.json,2025-01-08T00:00:00Z,2025-01-09T00:00:00Z,2026-09-17T08:54:26Z,2026-09-17T08:52:00.192971Z,75,d69976ed7acd086681e4ccbda0262cda75c0715874f5b76c9ef3093338b379b9
port_calls__20250109T000000Z__20250110T000000Z.json,2025-01-09T00:00:00Z,2025-01-10T00:00:00Z,2026-09-17T08:54:27Z,2026-09-17T08:52:00.192971Z,67,4207b4e2890909cea8c8c8219d29db822145b611c78aa732047e2ac4588f72c5
port_calls__20250110T000000Z__20250111T000000Z.json,2025-01-10T00:00:00Z,2025-01-11T00:00:00Z,2026-09-17T08:54:28Z,2026-09-17T08:52:00.192971Z,71,f0bf5ebe9962cf227e96152307d5412a33e919bdaf1f24b48fb78e9ef88fcdc1
port_calls__20250111T000000Z__20250112T000000Z.json,2025-01-11T00:00:00Z,2025-01-12T00:00:00Z,2026-09-17T08:54:28Z,2026-09-17T08:52:00.192971Z,58,94696e1fe98c87a35e2c9367bf3432a791cfbdfbf256c198c43764e5fb6af64c
port_calls__20250112T000000Z__20250113T000000Z.json,2025-01-12T00:00:00Z,2025-01-13T00:00:00Z,2026-09-17T08:54:29Z,2026-09-17T08:52:00.192971Z,66,4cf71e7c0fa8479fd7678f9c144c1dc378efb4130f648681748b02a17f710f52
port_calls__20250113T000000Z__20250114T000000Z.json,2025-01-13T00:00:00Z,2025-01-14T00:00:00Z,2026-09-17T08:54:30Z,2026-09-17T08:52:00.192971Z,75,2745bdcc517bd1e13d13050ebf148adf0d46f7af44047bd1a61bc4ece1a673a2
port_calls__20250114T000000Z__20250115T000000Z.json,2025-01-14T00:00:00Z,2025-01-15T00:00:00Z,2026-09-17T08:54:30Z,2026-09-17T08:52:00.192971Z,83,8d5a3641efe450dd3a186d0447655c2e81dd2e80e6f4a6bd041ec1fc1e736fe9
port_calls__20250115T000000Z__20250116T000000Z.json,2025-01-15T00:00:00Z,2025-01-16T00:00:00Z,2026-09-17T08:54:31Z,2026-09-17T08:52:00.192971Z,83,41ae2b690e0feb533a9da681f0ce8f621edefa49fd18e3ecfd700b7e35e5b0a8
port_calls__20250116T000000Z__20250117T000000Z.json,2025-01-16T00:00:00Z,2025-01-17T00:00:00Z,2026-09-17T08:54:32Z,2026-09-17T08:52:00.192971Z,87,6c8ef7cc845d6242666174da5f2a12533632060ebd7c098c64ac82c37d389290
port_calls__20250117T000000Z__20250118T000000Z.json,2025-01-17T00:00:00Z,2025-01-18T00:00:00Z,2026-09-17T08:54:32Z,2026-09-17T08:52:00.192971Z,83,0a44af0ed6194dd51a9ede4ca61bfd497897c8fa16d220921716b7f88c0811e0
port_calls__20250118T000000Z__20250119T000000Z.json,2025-01-18T00:00:00Z,2025-01-19T00:00:00Z,2026-09-17T08:54:33Z,2026-09-17T08:52:00.192971Z,63,aa211e313fc10b5dc52c1d4f75d81b1bc730480eb89f564ccb23ebd8c8906cd5
port_calls__20250119T000000Z__20250120T000000Z.json,2025-01-19T00:00:00Z,2025-01-20T00:00:00Z,2026-09-17T08:54:34Z,2026-09-17T08:52:00.192971Z,78,891efd59e6358ce8e7df022dae4ceae5261e525051b74c96d34c6424353256dc
port_calls__20250120T000000Z__20250121T000000Z.json,2025-01-20T00:00:00Z,2025-01-21T00:00:00Z,2026-09-17T08:54:35Z,2026-09-17T08:52:00.192971Z,70,25ecdd8936d207461403f7d10626f916e7ca40dac0ae8a068f4bdc01d3eba3fe
port_calls__20250121T000000Z__20250122T000000Z.json,2025-01-21T00:00:00Z,2025-01-22T00:00:00Z,2026-09-17T08:54:35Z,2026-09-17T08:52:00.192971Z,81,7412f0a537fc004425e7fbed96614d866e3bf04d4dff1ff3e834f35a9819fa71
port_calls__20250122T000000Z__20250123T000000Z.json,2025-01-22T00:00:00Z,2025-01-23T00:00:00Z,2026-09-17T08:54:36Z,2026-09-17T08:52:00.192971Z,94,1aef5dfd11941efc66ddaf02eb08030f50dab480be4516dfbc36813d456caef6
port_calls__20250123T000000Z__20250124T000000Z.json,2025-01-23T00:00:00Z,2025-01-24T00:00:00Z,2026-09-17T08:54:37Z,2026-09-17T08:52:00.192971Z,81,a31cea3d4af9d61cb1bd602f1519e6bd83663b37492d3bb11038f23320fd1cf0
port_calls__20250124T000000Z__20250125T000000Z.json,2025-01-24T00:00:00Z,2025-01-25T00:00:00Z,2026-09-17T08:54:37Z,2026-09-17T08:52:00.192971Z,69,aaba9ca23e7305c571acc5751976b1e69fd2447048a2ff46621fd0dc1f70972c
port_calls__20250125T000000Z__20250126T000000Z.json,2025-01-25T00:00:00Z,2025-01-26T00:00:00Z,2026-09-17T08:54:38Z,2026-09-17T08:52:00.192971Z,67,e1525e219c6c405b01e1481b51bcfb42d922095a0e4916d70e96c2b3dc6542cd
port_calls__20250126T000000Z__20250127T000000Z.json,2025-01-26T00:00:00Z,2025-01-27T00:00:00Z,2026-09-17T08:54:38Z,2026-09-17T08:52:00.192971Z,76,0dd47f2931ac482de3b97be52e930e1042399aa5df67075470e94fb27d2088b6
port_calls__20250127T000000Z__20250128T000000Z.json,2025-01-27T00:00:00Z,2025-01-28T00:00:00Z,2026-09-17T08:54:39Z,2026-09-17T08:52:00.192971Z,76,8a70161f8c69a8edd77b944601155c8c421cdb201c187f9cb3e2ef2daef2c2d5
port_calls__20250128T000000Z__20250129T000000Z.json,2025-01-28T00:00:00Z,2025-01-29T00:00:00Z,2026-09-17T08:54:39Z,2026-09-17T08:52:00.192971Z,82,92567bc6d01d14f6c812ffa5290bccc9094eca55b62897607ff9b1f3206aa04e
port_calls__20250129T000000Z__20250130T000000Z.json,2025-01-29T00:00:00Z,2025-01-30T00:00:00Z,2026-09-17T08:54:40Z,2026-09-17T08:52:00.192971Z,83,7898999d489baed6d3f05ab03cd31da7806964a6c0406b78d0384cf1016a778b
port_calls__20250130T000000Z__20250131T000000Z.json,2025-01-30T00:00:00Z,2025-01-31T00:00:00Z,2026-09-17T08:54:40Z,2026-09-17T08:52:00.192971Z,81,a83f8fb8bc7767afbe52222db0347e30b5795ca079d84e903829de1abd53775a
port_calls__20250131T000000Z__20250201T000000Z.json,2025-01-31T00:00:00Z,2025-02-01T00:00:00Z,2026-09-17T08:54:41Z,2026-09-17T08:52:00.192971Z,75,d5356cffb414093964d1b1267ea5b7a28e5c32ce39141eed8688a789922d9ad1
port_calls__20250201T000000Z__20250202T000000Z.json,2025-02-01T00:00:00Z,2025-02-02T00:00:00Z,2026-09-17T08:54:42Z,2026-09-17T08:52:00.192971Z,70,c44a90ff5765b40035d924aa161630bf44e136dbf46a9683929cee06290f81f7
port_calls__20250202T000000Z__20250203T000000Z.json,2025-02-02T00:00:00Z,2025-02-03T00:00:00Z,2026-09-17T08:54:42Z,2026-09-17T08:52:00.192971Z,69,18ac644570e2a0d4c5940d79f9f5ec2b986f8d25faa5827015e8b89f872fab8c
port_calls__20250203T000000Z__20250204T000000Z.json,2025-02-03T00:00:00Z,2025-02-04T00:00:00Z,2026-09-17T08:54:43Z,2026-09-17T08:52:00.192971Z,86,7337c1f75e7973d4be6c63a86a33ad6291fded479e1b5eee60ac297686679e00
port_calls__20250204T000000Z__20250205T000000Z.json,2025-02-04T00:00:00Z,2025-02-05T00:00:00Z,2026-09-17T08:54:44Z,2026-09-17T08:52:00.192971Z,81,f8b8797cef311f8b9fe7c33af8c2487dc5dda777fd88fdda7592223fafe89adb
port_calls__20250205T000000Z__20250206T000000Z.json,2025-02-05T00:00:00Z,2025-02-06T00:00:00Z,2026-09-17T08:54:44Z,2026-09-17T08:52:00.192971Z,86,83947b14d62eaa1650fed2b9a3dd5cd50f8df22998a7ab1da4045f6055be5247
port_calls__20250206T000000Z__20250207T000000Z.json,2025-02-06T00:00:00Z,2025-02-07T00:00:00Z,2026-09-17T08:54:45Z,2026-09-17T08:52:00.192971Z,85,a2c72d9a5c888d96a50497250ffffa4b7a53b822a39843e45f1b4e3f6e82ba74
port_calls__20250207T000000Z__20250208T000000Z.json,2025-02-07T00:00:00Z,2025-02-08T00:00:00Z,2026-09-17T08:54:45Z,2026-09-17T08:52:00.192971Z,86,c89e727a621b77a701f453dd4d40b41f7472180389bc943e3e3d33490b87e8bf
port_calls__20250208T000000Z__20250209T000000Z.json,2025-02-08T00:00:00Z,2025-02-09T00:00:00Z,2026-09-17T08:54:46Z,2026-09-17T08:52:00.192971Z,78,4b7723f30ada1a80aae554e88bdd0e0e61e7ecbbca73e36f9b1fa213c974477b
port_calls__20250209T000000Z__20250210T000000Z.json,2025-02-09T00:00:00Z,2025-02-10T00:00:00Z,2026-09-17T08:54:46Z,2026-09-17T08:52:00.192971Z,74,d8642c7b2a90d28b409bd34a816ce2621c3165ef24e79b45551f6685fdc29c64
port_calls__20250210T000000Z__20250211T000000Z.json,2025-02-10T00:00:00Z,2025-02-11T00:00:00Z,2026-09-17T08:54:47Z,2026-09-17T08:52:00.192971Z,86,9fc6945a02634fea93ed3c3e0a6981433e0e9daeefa20834a57ac6bf5d2afbb6
port_calls__20250211T000000Z__20250212T000000Z.json,2025-02-11T00:00:00Z,2025-02-12T00:00:00Z,2026-09-17T08:54:47Z,2026-09-17T08:52:00.192971Z,85,d35c993a267ce8b33e49f02ca58fe919bf1e1ba35b8aed7b00d0a2cddb1b2771
port_calls__20250212T000000Z__20250213T000000Z.json,2025-02-12T00:00:00Z,2025-02-13T00:00:00Z,2026-09-17T08:54:48Z,2026-09-17T08:52:00.192971Z,94,a117bf3b9c049fb7d34eac48338ca974ea666eb1b838449b946c10faf267b9f8
port_calls__20250213T000000Z__20250214T000000Z.json,2025-02-13T00:00:00Z,2025-02-14T00:00:00Z,2026-09-17T08:54:49Z,2026-09-17T08:52:00.192971Z,98,0647c03c340f1c1db7f92ead4d1fbadb10d2a704c338445c84995d15784d6f70
port_calls__20250214T000000Z__20250215T000000Z.json,2025-02-14T00:00:00Z,2025-02-15T00:00:00Z,2026-09-17T08:54:49Z,2026-09-17T08:52:00.192971Z,90,246bd544714fd45451c14ab0c456ff86441b5eee2a692d3e5baa657f64083683
