source_chunk,response_index,port_call_id,port_code,vessel_type_code
port_calls__20250101T000000Z__20250102T000000Z.json,1,3172625,FIHKO,40
port_calls__20250101T000000Z__20250102T000000Z.json,2,3180111,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,3,3184193,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,4,3185045,FILAN,20
port_calls__20250101T000000Z__20250102T000000Z.json,5,3185092,FINLI,20
port_calls__20250101T000000Z__20250102T000000Z.json,6,3185116,FILAN,20
port_calls__20250101T000000Z__20250102T000000Z.json,7,3187906,FILAN,20
port_calls__20250101T000000Z__20250102T000000Z.json,8,3187912,FILAN,20
port_calls__20250101T000000Z__20250102T000000Z.json,9,3187951,FILAN,20
port_calls__20250101T000000Z__20250102T000000Z.json,10,3187953,FITKU,20
port_calls__20250101T000000Z__20250102T000000Z.json,11,3187968,FILAN,20
port_calls__20250101T000000Z__20250102T000000Z.json,12,3188215,FIMHQ,20
port_calls__20250101T000000Z__20250102T000000Z.json,13,3188223,FIMHQ,20
port_calls__20250101T000000Z__20250102T000000Z.json,14,3188230,FIMHQ,20
port_calls__20250101T000000Z__20250102T000000Z.json,15,3188240,FIMHQ,10
port_calls__20250101T000000Z__20250102T000000Z.json,16,3188251,FIMHQ,20
port_calls__20250101T000000Z__20250102T000000Z.json,17,3189402,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,18,3189467,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,19,3190770,FITKU,20
port_calls__20250101T000000Z__20250102T000000Z.json,20,3190921,FITKU,20
port_calls__20250101T000000Z__20250102T000000Z.json,21,3192081,FIMHQ,20
port_calls__20250101T000000Z__20250102T000000Z.json,22,3192085,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,23,3192103,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,24,3192105,FIMHQ,20
port_calls__20250101T000000Z__20250102T000000Z.json,25,3192112,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,26,3192135,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,27,3192138,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,28,3192170,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,29,3192171,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,30,3192302,FIHKO,40
port_calls__20250101T000000Z__20250102T000000Z.json,31,3192459,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,32,3192475,FIHEL,20
port_calls__20250101T000000Z__20250102T000000Z.json,33,3192549,FIKOK,60
port_calls__20250101T000000Z__20250102T000000Z.json,34,3192593,FIPOR,80
port_calls__20250101T000000Z__20250102T000000Z.json,35,3192883,FIOUL,70
port_calls__20250101T000000Z__20250102T000000Z.json,36,3192886,FISKV,82
port_calls__20250101T000000Z__20250102T000000Z.json,37,3192928,FIECK,20
port_calls__20250101T000000Z__20250102T000000Z.json,38,3192934,FIECK,20
port_calls__20250101T000000Z__20250102T000000Z.json,39,3193067,FIPOR,70
port_calls__20250101T000000Z__20250102T000000Z.json,40,3193177,FIUKI,70
port_calls__20250101T000000Z__20250102T000000Z.json,41,3193263,FITOR,70
port_calls__20250101T000000Z__20250102T000000Z.json,42,3193382,FITKU,70
port_calls__20250101T000000Z__20250102T000000Z.json,43,3193478,FITOR,60
port_calls__20250101T000000Z__20250102T000000Z.json,44,3193718,FISKV,80
port_calls__20250101T000000Z__20250102T000000Z.json,45,3194581,FIKTK,70
port_calls__20250101T000000Z__20250102T000000Z.json,46,3194582,FIVAA,60
port_calls__20250101T000000Z__20250102T000000Z.json,47,3194676,FIVAA,20
port_calls__20250101T000000Z__20250102T000000Z.json,48,3194685,FIKTK,70
port_calls__20250101T000000Z__20250102T000000Z.json,49,3194706,FIPOR,70
port_calls__20250101T000000Z__20250102T000000Z.json,50,3194791,FINLI,70
port_calls__20250101T000000Z__20250102T000000Z.json,51,3195029,FIANK,70
port_calls__20250101T000000Z__20250102T000000Z.json,52,3195030,FIVEI,90
port_calls__20250101T000000Z__20250102T000000Z.json,53,3195031,FIVEI,90
port_calls__20250101T000000Z__20250102T000000Z.json,54,3195033,FIVEI,10
port_calls__20250101T000000Z__20250102T000000Z.json,55,3195050,FISKV,80
port_calls__20250101T000000Z__20250102T000000Z.json,56,3195064,FIKTQ,70
port_calls__20250101T000000Z__20250102T000000Z.json,57,3195104,FIKAS,91
port_calls__20250101T000000Z__20250102T000000Z.json,58,3195146,FIANK,83
port_calls__20250102T000000Z__20250103T000000Z.json,1,3182478,FIHKO,40
port_calls__20250102T000000Z__20250103T000000Z.json,2,3184207,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,3,3184304,FIRAU,10
port_calls__20250102T000000Z__20250103T000000Z.json,4,3185089,FILAN,20
port_calls__20250102T000000Z__20250103T000000Z.json,5,3185123,FINLI,20
port_calls__20250102T000000Z__20250103T000000Z.json,6,3185155,FILAN,20
port_calls__20250102T000000Z__20250103T000000Z.json,7,3187907,FILAN,20
port_calls__20250102T000000Z__20250103T000000Z.json,8,3187913,FILAN,20
port_calls__20250102T000000Z__20250103T000000Z.json,9,3187956,FIMHQ,20
port_calls__20250102T000000Z__20250103T000000Z.json,10,3187963,FITKU,20
port_calls__20250102T000000Z__20250103T000000Z.json,11,3187969,FILAN,20
port_calls__20250102T000000Z__20250103T000000Z.json,12,3188212,FIMHQ,20
port_calls__20250102T000000Z__20250103T000000Z.json,13,3188224,FIMHQ,20
port_calls__20250102T000000Z__20250103T000000Z.json,14,3188231,FIMHQ,20
port_calls__20250102T000000Z__20250103T000000Z.json,15,3188242,FIMHQ,10
port_calls__20250102T000000Z__20250103T000000Z.json,16,3188248,FIMHQ,20
port_calls__20250102T000000Z__20250103T000000Z.json,17,3188768,FIHEL,50
port_calls__20250102T000000Z__20250103T000000Z.json,18,3189403,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,19,3189441,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,20,3189468,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,21,3190567,FIRAU,50
port_calls__20250102T000000Z__20250103T000000Z.json,22,3190771,FITKU,20
port_calls__20250102T000000Z__20250103T000000Z.json,23,3190922,FITKU,20
port_calls__20250102T000000Z__20250103T000000Z.json,24,3192065,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,25,3192087,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,26,3192089,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,27,3192095,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,28,3192106,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,29,3192113,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,30,3192116,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,31,3192176,FIMHQ,20
port_calls__20250102T000000Z__20250103T000000Z.json,32,3192177,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,33,3192199,FIMHQ,20
port_calls__20250102T000000Z__20250103T000000Z.json,34,3192296,FIKTK,40
port_calls__20250102T000000Z__20250103T000000Z.json,35,3192461,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,36,3192476,FIHEL,20
port_calls__20250102T000000Z__20250103T000000Z.json,37,3192747,FISKV,81
port_calls__20250102T000000Z__20250103T000000Z.json,38,3192797,FIHKO,40
port_calls__20250102T000000Z__20250103T000000Z.json,39,3192923,FIECK,20
port_calls__20250102T000000Z__20250103T000000Z.json,40,3192929,FIECK,20
port_calls__20250102T000000Z__20250103T000000Z.json,41,3192935,FIECK,20
port_calls__20250102T000000Z__20250103T000000Z.json,42,3193077,FIHKO,40
